0,1,2,3,4,7,Positif,Negatif
https://twitter.com/utridalimunthe/status/1380290145597878274,2021-04-08 22:43:09+00:00,"Tahun 2020 lalu, hampir tiap hari sejak Agustus 2020 ada pengumuman orang meninggal dari mesjid gang rumah. Bikin was2 dengerinnyaaa.
Tahun 2021, klau diinget2 msh 2 kali selama hampir 4 bulan ini. Apakah ini bisa dijadikan tanda vaksin efektif dan penularan covid menurun? 😂😁",1.38E+18,utridalimunthe,[],,
https://twitter.com/11hayati05/status/1380271305757392899,2021-04-08 21:28:18+00:00,Dia punyaa seram sejuk badan lepas covid vaksin ni tkleh bawak bincang. Cepat laa hbis night 😪,1.38E+18,11hayati05,[],,
https://twitter.com/Nsrllimn/status/1380224040397275137,2021-04-08 18:20:29+00:00,vaksin covid ni macam takde function je daftar babi dah berapa bulan ni suntikan untuk rakyat macam takde jalan langsung,1.38E+18,Nsrllimn,[],,1
https://twitter.com/iqbalMnasir/status/1380210264545447936,2021-04-08 17:25:44+00:00,Dulu bangga handle covid. Sekarang punya lah lembab nak bagi vaksin. Negara mana tu?,1.38E+18,iqbalMnasir,[],,
https://twitter.com/AlbertSolo2/status/1380200844272889858,2021-04-08 16:48:18+00:00,"Pemerintah India di kabarkan akan kembali mengekspor vaksin Astra Zeneka pada Juni mendatang, pemerintah Indonesia sepertinya harus menunggu sampai bulan Juni mendatang untuk melanjutkan program vaksinasi Covid-19 yang terancam di tunda karena ketersediaan vaksin yang kurang",1.38E+18,AlbertSolo2,[],,
https://twitter.com/amirhimself/status/1380188260933148672,2021-04-08 15:58:18+00:00,Sila daftar untuk vaksin Covid-19. Jangan sampai orang Malaysia takleh pergi Pattaya sebab sikap pentingkan diri sendiri mereka yang taknak daftar vaksin. Beringat sebelum kena. Berjimat sebelum habis.,1.38E+18,amirhimself,[],,
https://twitter.com/Ariefmantoi/status/1380186313018634242,2021-04-08 15:50:34+00:00,"Apakah hidup kita akan lebih nyaman jika semua urusan dan mobilitas kita mensyaratkan berbagai passport akibat covid-19 dan vaksin?
Kerjakan agenda bangsa lain, nyusahin bangsa sendiri kok happy amat yak? 😞",1.38E+18,Ariefmantoi,[],,
https://twitter.com/mahaswara_/status/1380179031602077703,2021-04-08 15:21:38+00:00,"Kayaknya diseminasi tentang penanganan covid, jenis test, jenis vaksin, KIPI, tata cara/pelaporan ke RT RW setempat masih minim. Banyak yang blank.",1.38E+18,mahaswara_,[],,
https://twitter.com/auesomeboi/status/1380173569863262218,2021-04-08 14:59:56+00:00,"Emang bener ya, klo punya asma gak boleh vaksin covid?",1.38E+18,auesomeboi,[],,
https://twitter.com/adhit___/status/1380169417703583748,2021-04-08 14:43:26+00:00,haruskah harkat mengIYAkan undangan vaksin covid?,1.38E+18,adhit___,[],,
https://twitter.com/rvrieth/status/1380167757296066561,2021-04-08 14:36:50+00:00,"Mom: Dek, kok bisa sih divaksin terus positif covid lagi? Mama besok mau vaksin.

Me: *menjelaskan selama hampir 30 menit mekanisme kerja vaksin*",1.38E+18,rvrieth,[],,
https://twitter.com/Faldylouis_/status/1380161597944041472,2021-04-08 14:12:21+00:00,"Puasa ketemu puasa masih suasana covid. Tp bedanya, rata2 udh Pada vaksin + kena covid. Masi perlukah masker untuk yg sudah vaksin + kena covid???!!!",1.38E+18,Faldylouis_,[],,1
https://twitter.com/irfan_andika17/status/1380160174875365376,2021-04-08 14:06:42+00:00,"Efek pasca vaksin covid pertama sedikit mulai terasa..
1.pegel-pegal tangan yang bekas suntik
2.ngantuk
3. Lemas
4. Tenggorokan kering
5. Suara sedikit serak
 Efek pasca vaksin untuk semua orang beda beda tergantung kondisi tubuh kita..",1.38E+18,irfan_andika17,[],,
https://twitter.com/katzen_jammer/status/1380150163197542401,2021-04-08 13:26:55+00:00,Kalau masih ada yg beranggapan herd immunity diperoleh dari vaksinasi massal berarti dia kegocek WHO. Justru herd immunity diperoleh dari infeksi alamiah dan asymptomatic. Karena antibodi orang² tersebut yg non vaksin covid mampu melawan infeksi covid. Plot twist sih ini. 🤭,1.38E+18,katzen_jammer,[],,1
https://twitter.com/minrdn/status/1380149613416513536,2021-04-08 13:24:44+00:00,Aku tertanya lepas dah kena dua dos vaksin tu memang nanti kita akan kalis covid ke???,1.38E+18,minrdn,[],,
https://twitter.com/Mutbosster/status/1380147614323105799,2021-04-08 13:16:47+00:00,Ada diskon 10% di kintan buffet kalo kalian punya sertifikat vaksin covid 🙂,1.38E+18,Mutbosster,[],,
https://twitter.com/fitriyayana9696/status/1380143685111664643,2021-04-08 13:01:11+00:00,"So, kalo orang2 ga mau vaksin karena moron udah biarin aja. Kita aja yg waras selametin diri dan keluarga. Anggap aja fardu kifayah. Kita yg usaha, orang lain bebas dari dosanya a.k.a bebas dari covid. Mudah2an Allah terus kasi kesehatan ama kita dan keluarga kita ❤️",1.38E+18,fitriyayana9696,[],1,
https://twitter.com/riandinr26/status/1380142936617197568,2021-04-08 12:58:12+00:00,"Mungkin gue 1 dari sedikit orang yg bisa vaksin covid antara dosis pertama dan kedua dibeda tempat, beda provinsi malah",1.38E+18,riandinr26,[],,
https://twitter.com/nengkeii/status/1380137590326579204,2021-04-08 12:36:57+00:00,Apakah salah satu syarat vaksin covid adl ngpost kalau sdh di vaksin ? 👀,1.38E+18,nengkeii,[],,
https://twitter.com/ksajeng/status/1380137175832961025,2021-04-08 12:35:19+00:00,"Pengalaman vaksin covid tahap 1. Zonk. Awalnya strong, kerja dari jam 10 pagi, jam 11 malem baru balik. Nah, beresnya itu. Meriang, persendian sakit, demam, ngga bisa bangun sampe siang karena kepala sakit. Tobat",1.38E+18,ksajeng,[],,1
https://twitter.com/raenovaldy_/status/1380127226511773701,2021-04-08 11:55:46+00:00,"A : Buat apa percaya covid sama pake masker, da semua orang pasti meninggal, tau yang pada pake masker percaya covid itu org ga beriman mereka takut mati, ga bertuhan...
B : Ya udah ayo di vaksin biar sehat?
A : Vuksan vaksin, kamu mau mati gara gara di vaksin?!

DASAR MANUSIA😏",1.38E+18,raenovaldy_,[],,1
https://twitter.com/ilysadnan/status/1380125366354767872,2021-04-08 11:48:23+00:00,"Berawal dri masker untuk yg sakit, hingga yg tdk sakit pun memakai jg, berlanjut dengan sanitizer &amp; desinfektan, hingga tes rapid berlevel dan berlanjut vaksin yg katanya lolos covid bersertifikat. Pun akhirnya covid pun masih tetap ada. Stlh ini kebijakan apalagi yg mau dibuat?",1.38E+18,ilysadnan,[],,1
https://twitter.com/JoMalonteLondon/status/1380123558379065350,2021-04-08 11:41:12+00:00,"Oomfies aku mau tanya, aku pengidap hemofilia tapi selalu pengobatan secara teratur apa masih tidak boleh untuk vaksin covid-19?",1.38E+18,JoMalonteLondon,[],,
https://twitter.com/SridianaEva/status/1380121076986826754,2021-04-08 11:31:20+00:00,"Covid itu ada ? Jelas faktanya, sama dg penyakit lainnya. 
Mbuat virus baru sama mudah dg mengawinkan kucing angora&amp;persia.

Jelas dibuat bukan utk tujuan baik. 
Mgkn utk senjata biologis, utk jualan vaksin/anti virus.

Dokter profesi kemanusiaan, tdk akan jd bagian kejahatan ini",1.38E+18,SridianaEva,[],,
https://twitter.com/KediriFess/status/1380101802633293827,2021-04-08 10:14:45+00:00,"cah, piye rasane vaksin covid itu ? kok dredeg",1.38E+18,KediriFess,[],,
https://twitter.com/Senggiaw/status/1380096714346885120,2021-04-08 09:54:32+00:00,Manfaat vaksin Covid-19 AstraZeneca melebihi akibat yang buruk. Pertubuhan Kesihatan Dunia menganggap penyakit darah beku jarang berlaku. Di kalangan orang yang disuntik vaksin tersebut kira-kira 40 dihinggapi penyakit itu.,1.38E+18,Senggiaw,[],,
https://twitter.com/GekmaRenata/status/1380091212162428935,2021-04-08 09:32:40+00:00,"Jangan percaya sama info info yg tidak benar tentang vaksin covid-19 ya teman teman, karena udh jelas bahwa vaksin covid-19 ini aman dan efektif. Jadi ga usah pada takut dan ragu lagi ya.

Ayo siap divaksin!!

 #VaksinUntukKita #UpayaLawanPandemi",1.38E+18,GekmaRenata,[],1,
https://twitter.com/fxxhzrh/status/1380089785209946120,2021-04-08 09:27:00+00:00,"Jadwal donor seharusnya februari kemarin mundur maret karena vaksin, mundur lagi april karena habis kena covid dan bakal mundur lagi krn nggak fit... Halah...",1.38E+18,fxxhzrh,[],,1
https://twitter.com/andyfebry8/status/1380089399761756160,2021-04-08 09:25:28+00:00,"Org Indonesia iki lucu kok,pandemi covid ribut kpn vaksin muncul,vaksin muncul ribut jenis vaksinnya,minta gratis sdh dikasi gratis,skrg minta milih jenis vaksin yg mau disuntik,klu vaksin A bgni bgtu,vaksin B begini bgtu,Oalah rakyat kok ruwet!!!
#vaksinasi",1.38E+18,andyfebry8,[],,
https://twitter.com/my_nndn/status/1380086396531077120,2021-04-08 09:13:32+00:00,Lemes banget abis vaksin covid,1.38E+18,my_nndn,[],,1
https://twitter.com/the_k1NN/status/1380084930735054853,2021-04-08 09:07:42+00:00,"ah butuh la kau.. rakyat sendiri pun masih ramai belum dapat vaksin, tiba² kerajaan bagi 50,000 dos vaksin COVID-19 ke Bosnia Herzegovina pulak..",1.38E+18,the_k1NN,[],,
https://twitter.com/HerdiwiyantoP/status/1380082978836074496,2021-04-08 08:59:57+00:00,"Min @PRFMnews @infobdg 
Punten mo tny...

Untuk calon jamaah haji lansia d bandung apakah udh d mulai vaksin covid'y..?

Nuhun...",1.38E+18,HerdiwiyantoP,[],,
https://twitter.com/ndhrhbhrddn/status/1380072894118588425,2021-04-08 08:19:53+00:00,"Siapa tahu boleh ke tukar tempat cucuk vaksin Covid? Nak tukar dari Lipis ke Bentong.

Aku call PKD tapi tak berangkat.

Anyone?",1.38E+18,ndhrhbhrddn,[],,
https://twitter.com/pasfm/status/1380061328203653121,2021-04-08 07:33:55+00:00,"Joe Biden menargetkan bahwa semua orang dewasa Amerika Serikat akan memenuhi syarat untuk menerima vaksin Covid-19 pada 19 April. Target bagi orang yang berusia 18 tahun atau lebih pada 19 April itu, dua minggu lebih awal dari tenggat waktu 1 Mei yang dia umumkan sebelumnya.",1.38E+18,pasfm,[],,
